<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Oranges,D,20000914,2269.0000,2433.6499,2260.6899,2428.2000,8129973.0000
Lemons,D,20000914,542.0600,568.7300,534.9700,567.9600,5701010.0000
Pears,D,20000914,19700.0000,19990.0000,18060.0000,19800.0000,1030.0000
Prunes,D,20000914,14815.0000,16360.0000,14815.0000,16075.0000,575.0000
Walnuts,D,20000914,7880.0000,8400.0000,7570.0000,8220.0000,21220.0000
Nuts,D,20000914,6120.0000,6445.0000,6010.0000,6440.0000,2920.0000
Bananas,D,20000914,1125.0000,1195.0000,1120.0000,1185.0000,32410.0000
Apples,D,20000914,9035.0000,9350.0000,8240.0000,9300.0000,29700.0000
Figs,D,20000914,5735.0000,5800.0000,5570.0000,5785.0000,22640.0000
Grapes,D,20000914,0.0000,0.0000,0.0000,0.0000,30191690.0000
